bs_month,bs_year,bs_account_name,bs_amount,bs_src
07,2022,Goods in Transit,111123.386762,PPP
07,2022,Other Current Assets,252721.44051863585,PPP
07,2022,Investments - At Cost,14059232.161533661,PPP
07,2022,"Property, Plant And Equipment - At Cost",0.0,PPP
07,2022,Land and Land Improvements,707625.4286162751,PPP
07,2022,Buildings and Structures,2961620.099692025,PPP
07,2022,Plant Machinery and Equipment,10882729.054691788,PPP
07,2022,Transportation and Miscellaneous Equipment,363059.185293475,PPP
07,2022,Office Furniture and Equipment,130032.51407795,PPP
07,2022,Construction in Progress,897464.0746460501,PPP
07,2022,Sundry Assets,0.0,PPP
07,2022,Accumulated Depreciation,-8578079.704316758,PPP
07,2022,Right of Use Assets,-3977.3468700000003,PPP
07,2022,Other Assets,0.0,PPP
07,2022,Investment Property,6830.280839999999,PPP
07,2022,Goodwill - Dyna & Orient,18203.66317,PPP
07,2022,Deferred Income Tax,99603.8103967208,PPP
07,2022,Deferred Charges & Others,135924.29793514998,PPP
07,2022,Manpower,1671.0,PPP
08,2022,Cash on Hand and in Banks,878008.2295441317,PPP
08,2022,Accounts and Notes Receivable - Trade,3315784.371064167,PPP
08,2022,Receivable from Subsidiaries - Trade,32725.483984709666,PPP
08,2022,Receivable from Subsidiaries - Current Account,168160.917062883,PPP
08,2022,Promissory Notes Receivable to Subsidiaries,2534287.19268,PPP
08,2022,Contract Assets,0.0,PPP
08,2022,Inventories - Finished Goods,1343716.493260569,PPP
08,2022,Goods in Process,239802.90496945017,PPP
08,2022,Raw Materials,1678817.1867745752,PPP
08,2022,Spare Parts,138302.23293362,PPP
08,2022,"Stores, Supplies and Others",120739.461460845,PPP
08,2022,Goods in Transit,195698.52487932754,PPP
08,2022,Other Current Assets,248747.0605197017,PPP
08,2022,Investments - At Cost,13968023.893615372,PPP
08,2022,"Property, Plant And Equipment - At Cost",0.0,PPP
08,2022,Land and Land Improvements,702880.8348414275,PPP
08,2022,Buildings and Structures,2949397.5935200024,PPP
08,2022,Plant Machinery and Equipment,10847539.324374828,PPP
08,2022,Transportation and Miscellaneous Equipment,357450.8499144225,PPP
08,2022,Office Furniture and Equipment,129712.377108195,PPP
08,2022,Construction in Progress,898965.7952338974,PPP
08,2022,Sundry Assets,0.0,PPP
08,2022,Accumulated Depreciation,-8612369.186536975,PPP
08,2022,Right of Use Assets,-3977.3468700000003,PPP
08,2022,Other Assets,0.0,PPP
08,2022,Investment Property,6830.280839999999,PPP
08,2022,Goodwill - Dyna & Orient,17892.737175000002,PPP
08,2022,Deferred Income Tax,103346.34513366301,PPP
08,2022,Deferred Charges & Others,132986.279164575,PPP
08,2022,Manpower,1674.0,PPP
09,2022,Cash on Hand and in Banks,744185.5177725034,PPP
09,2022,Accounts and Notes Receivable - Trade,3174865.952592018,PPP
09,2022,Receivable from Subsidiaries - Trade,24597.350183912677,PPP
09,2022,Receivable from Subsidiaries - Current Account,-402.9280199999994,PPP
09,2022,Promissory Notes Receivable to Subsidiaries,2543036.25803,PPP
09,2022,Contract Assets,0.0,PPP
09,2022,Inventories - Finished Goods,1423448.0666878766,PPP
09,2022,Goods in Process,258972.0444660306,PPP
09,2022,Raw Materials,1666225.225315762,PPP
09,2022,Spare Parts,137389.9153231365,PPP
09,2022,"Stores, Supplies and Others",127379.22141348601,PPP
09,2022,Goods in Transit,324797.1527812705,PPP
09,2022,Other Current Assets,256502.48654784114,PPP
09,2022,Investments - At Cost,14321018.43793571,PPP
09,2022,"Property, Plant And Equipment - At Cost",0.0,PPP
09,2022,Land and Land Improvements,711827.7831025685,PPP
09,2022,Buildings and Structures,2983959.9200986736,PPP
09,2022,Plant Machinery and Equipment,11013302.64608059,PPP
09,2022,Transportation and Miscellaneous Equipment,360978.09325103246,PPP
09,2022,Office Furniture and Equipment,130923.11134573298,PPP
09,2022,Construction in Progress,904315.3546457024,PPP
09,2022,Sundry Assets,0.0,PPP
09,2022,Accumulated Depreciation,-8806467.129557686,PPP
09,2022,Right of Use Assets,-3977.3468700000003,PPP
09,2022,Other Assets,0.0,PPP
09,2022,Investment Property,6830.280839999999,PPP
09,2022,Goodwill - Dyna & Orient,17938.700754999998,PPP
09,2022,Deferred Income Tax,99968.95759541556,PPP
09,2022,Deferred Charges & Others,133538.830958721,PPP
09,2022,Manpower,1675.0,PPP
10,2022,Cash on Hand and in Banks,729248.8365672634,PPP
10,2022,Accounts and Notes Receivable - Trade,3309560.638724139,PPP
10,2022,Receivable from Subsidiaries - Trade,16782.762904880277,PPP
10,2022,Receivable from Subsidiaries - Current Account,-1015.9363023940023,PPP
10,2022,Promissory Notes Receivable to Subsidiaries,2467268.04866,PPP
10,2022,Contract Assets,0.0,PPP
10,2022,Inventories - Finished Goods,1436026.2939629543,PPP
10,2022,Goods in Process,259316.70325348637,PPP
10,2022,Raw Materials,1584249.0689528682,PPP
10,2022,Spare Parts,137752.9188730405,PPP
10,2022,"Stores, Supplies and Others",120261.75677671701,PPP
10,2022,Goods in Transit,303142.33059445303,PPP
10,2022,Other Current Assets,262413.67497005605,PPP
10,2022,Investments - At Cost,14349910.675081007,PPP
10,2022,"Property, Plant And Equipment - At Cost",0.0,PPP
10,2022,Land and Land Improvements,695831.7240902255,PPP
10,2022,Buildings and Structures,2923295.1274143346,PPP
10,2022,Plant Machinery and Equipment,10869051.846858263,PPP
10,2022,Transportation and Miscellaneous Equipment,349118.7238304975,PPP
10,2022,Office Furniture and Equipment,129277.502653059,PPP
10,2022,Construction in Progress,854416.1990011266,PPP
10,2022,Sundry Assets,14942.097,PPP
10,2022,Accumulated Depreciation,-8747374.991468523,PPP
10,2022,Right of Use Assets,-3977.3468700000003,PPP
10,2022,Other Assets,0.0,PPP
10,2022,Investment Property,6830.280839999999,PPP
10,2022,Goodwill - Dyna & Orient,17252.613615000002,PPP
10,2022,Deferred Income Tax,100871.15716245584,PPP
10,2022,Deferred Charges & Others,123480.4969573825,PPP
10,2022,Manpower,6313.0,PPP
11,2022,Cash on Hand and in Banks,683972.467725574,PPP
11,2022,Accounts and Notes Receivable - Trade,3099478.9838077445,PPP
11,2022,Receivable from Subsidiaries - Trade,22552.373346941684,PPP
11,2022,Receivable from Subsidiaries - Current Account,-897.3214739730029,PPP
11,2022,Promissory Notes Receivable to Subsidiaries,2542879.13868,PPP
11,2022,Contract Assets,0.0,PPP
11,2022,Inventories - Finished Goods,1333956.9452802867,PPP
11,2022,Goods in Process,242564.59731714916,PPP
11,2022,Raw Materials,1544678.3419941016,PPP
11,2022,Spare Parts,134241.024954481,PPP
11,2022,"Stores, Supplies and Others",115647.41300231002,PPP
11,2022,Goods in Transit,120383.321696294,PPP
11,2022,Other Current Assets,250712.38994122442,PPP
11,2022,Investments - At Cost,13682440.62503273,PPP
11,2022,"Property, Plant And Equipment - At Cost",0.0,PPP
11,2022,Land and Land Improvements,667906.4007296945,PPP
11,2022,Buildings and Structures,2824077.858917324,PPP
11,2022,Plant Machinery and Equipment,10593195.736135244,PPP
11,2022,Transportation and Miscellaneous Equipment,333815.416183335,PPP
11,2022,Office Furniture and Equipment,126506.023701093,PPP
11,2022,Construction in Progress,736522.468310897,PPP
11,2022,Sundry Assets,14942.097,PPP
11,2022,Accumulated Depreciation,-8511768.338384422,PPP
11,2022,Right of Use Assets,-3977.3468700000003,PPP
11,2022,Other Assets,0.0,PPP
11,2022,Investment Property,6830.280839999999,PPP
11,2022,Goodwill - Dyna & Orient,16340.604285000001,PPP
11,2022,Deferred Income Tax,107011.32042813851,PPP
11,2022,Deferred Charges & Others,122589.92019231251,PPP
11,2022,Manpower,6272.0,PPP
12,2022,Cash on Hand and in Banks,806724.1695858885,PPP
12,2022,Accounts and Notes Receivable - Trade,2828567.2084125243,PPP
12,2022,Receivable from Subsidiaries - Trade,36906.26627769899,PPP
12,2022,Receivable from Subsidiaries - Current Account,-582.9652678284997,PPP
12,2022,Promissory Notes Receivable to Subsidiaries,2851596.9985599997,PPP
12,2022,Contract Assets,0.0,PPP
12,2022,Inventories - Finished Goods,1346034.8595306901,PPP
12,2022,Goods in Process,269163.0863748875,PPP
12,2022,Raw Materials,1545835.8472001376,PPP
12,2022,Spare Parts,135470.448749475,PPP
12,2022,"Stores, Supplies and Others",118250.52099201799,PPP
12,2022,Goods in Transit,121747.35131961248,PPP
12,2022,Other Current Assets,243464.58698180495,PPP
12,2022,Investments - At Cost,13494091.456967002,PPP
12,2022,"Property, Plant And Equipment - At Cost",0.0,PPP
12,2022,Land and Land Improvements,742146.3632793895,PPP
12,2022,Buildings and Structures,2982051.04528837,PPP
12,2022,Plant Machinery and Equipment,11029262.272569375,PPP
12,2022,Transportation and Miscellaneous Equipment,339912.70953448047,PPP
12,2022,Office Furniture and Equipment,121007.163902023,PPP
12,2022,Construction in Progress,557721.8942626739,PPP
12,2022,Sundry Assets,10733.5905648015,PPP
12,2022,Accumulated Depreciation,-8688938.130446272,PPP
12,2022,Right of Use Assets,-3977.3468700000003,PPP
12,2022,Other Assets,0.0,PPP
12,2022,Investment Property,6830.280839999999,PPP
12,2022,Goodwill - Dyna & Orient,18632.200315000002,PPP
12,2022,Deferred Income Tax,107399.72246889469,PPP
12,2022,Deferred Charges & Others,149097.10232867702,PPP
12,2022,Manpower,6250.0,PPP
